Debt_ID,Business_ID,Lender,Loan_Type,Principal_Amount,Outstanding_Amount,Interest_Rate(%),Monthly_Installment,Due_Date,Status,Collateral,Risk_Score,Optimization_Strategy
DEBTX00001,SMB514,Bank X,Mortgage Loan,966159,187443,26.25,6395,2026-01-09,Closed,Yes,78,Refinancing
DEBTX00002,SMB503,Bank Z,Equipment Loan,354163,130593,22.98,10033,2026-05-16,Defaulted,Yes,65,Refinancing
DEBTX00003,SMB502,Bank Y,Credit Line,492401,309334,14.93,32772,2026-01-19,Defaulted,Yes,69,Refinancing
DEBTX00004,SMB542,Private Financier,Credit Line,642803,605322,20.91,44443,2025-12-25,Defaulted,Yes,80,Refinancing
DEBTX00005,SMB530,Bank X,Term Loan,720020,141674,20.62,4842,2026-05-06,Overdue,Yes,79,Negotiation
DEBTX00006,SMB538,Bank Y,Term Loan,288099,169367,25.28,19929,2025-08-05,Current,No,44,Refinancing
DEBTX00007,SMB524,NBFC Capital,Term Loan,1113106,273952,10.86,9498,2026-04-26,Current,Yes,67,Consolidation
DEBTX00008,SMB519,Bank X,Equipment Loan,213414,203290,17.46,10028,2025-02-27,Overdue,No,51,Negotiation
DEBTX00009,SMB511,Bank X,Equipment Loan,138049,12441,16.2,640,2026-01-23,Overdue,Yes,64,Refinancing
DEBTX00010,SMB538,Bank Z,Term Loan,733195,259655,17.13,26317,2026-03-03,Overdue,Yes,28,Consolidation
DEBTX00011,SMB526,Private Financier,Equipment Loan,396789,338571,24.71,32659,2025-03-27,Defaulted,Yes,70,Refinancing
DEBTX00012,SMB507,Bank Z,Working Capital,789389,298885,10.02,27654,2026-02-13,Defaulted,Yes,73,Refinancing
DEBTX00013,SMB517,NBFC Capital,Mortgage Loan,1041317,336145,7.09,31966,2025-04-16,Closed,Yes,64,Refinancing
DEBTX00014,SMB536,Private Financier,Equipment Loan,1126942,142526,9.38,7124,2026-05-09,Closed,Yes,63,Snowball
DEBTX00015,SMB539,Bank Z,Working Capital,621967,481476,13.56,51578,2025-02-15,Closed,Yes,46,Snowball
DEBTX00016,SMB531,Bank Y,Mortgage Loan,728898,309175,13.8,11722,2026-02-01,Closed,Yes,79,Avalanche
DEBTX00017,SMB521,Bank Z,Term Loan,473610,94877,32.0,5234,2025-07-29,Overdue,Yes,82,Refinancing
DEBTX00018,SMB543,Bank X,Mortgage Loan,1047110,120609,27.19,3884,2026-02-28,Overdue,Yes,48,Negotiation
DEBTX00019,SMB526,Bank Y,Equipment Loan,959170,956788,7.21,49273,2025-07-06,Defaulted,Yes,59,Negotiation
DEBTX00020,SMB548,NBFC Capital,Mortgage Loan,135022,88615,10.14,3370,2026-04-28,Overdue,Yes,74,Consolidation
DEBTX00021,SMB541,NBFC Capital,Credit Line,487982,273095,25.98,12524,2025-05-31,Overdue,Yes,80,Refinancing
DEBTX00022,SMB528,Private Financier,Term Loan,757060,417937,11.4,42217,2025-05-28,Defaulted,Yes,31,Negotiation
DEBTX00023,SMB541,Bank X,Term Loan,308573,134481,21.67,6351,2025-07-17,Overdue,No,59,Refinancing
DEBTX00024,SMB541,Bank Z,Credit Line,1034559,137848,15.14,11969,2025-05-05,Closed,Yes,84,Avalanche
DEBTX00025,SMB528,Bank X,Mortgage Loan,654503,117866,21.24,12261,2025-08-05,Defaulted,Yes,64,Refinancing
DEBTX00026,SMB527,Private Financier,Equipment Loan,749291,716858,14.36,25162,2025-10-12,Current,Yes,76,Avalanche
DEBTX00027,SMB537,NBFC Capital,Credit Line,768103,221402,24.44,22569,2026-03-19,Current,Yes,26,Refinancing
DEBTX00028,SMB515,Bank X,Term Loan,629331,398350,9.0,34622,2025-05-18,Overdue,Yes,52,Refinancing
DEBTX00029,SMB543,Bank Z,Working Capital,923568,534664,16.15,26079,2026-01-25,Defaulted,Yes,63,Refinancing
DEBTX00030,SMB548,Bank Y,Term Loan,985069,540163,6.09,49589,2025-12-05,Closed,Yes,28,Snowball
DEBTX00031,SMB524,Bank Y,Term Loan,166068,112091,14.75,12725,2025-01-08,Overdue,No,30,Negotiation
DEBTX00032,SMB502,Private Financier,Mortgage Loan,693254,559471,9.23,44160,2025-07-05,Defaulted,Yes,71,Consolidation
DEBTX00033,SMB503,Private Financier,Equipment Loan,295576,85879,9.27,8163,2025-07-20,Current,No,68,Negotiation
DEBTX00034,SMB530,Bank Z,Term Loan,1076622,442665,18.34,41253,2025-01-03,Overdue,Yes,43,Consolidation
DEBTX00035,SMB505,Bank Z,Credit Line,780147,461041,44.72,35044,2026-05-02,Overdue,Yes,81,Refinancing
DEBTX00036,SMB545,NBFC Capital,Term Loan,328073,160183,27.22,15862,2025-03-07,Closed,No,70,Refinancing
DEBTX00037,SMB531,Private Financier,Equipment Loan,472429,227612,30.12,19174,2025-05-30,Overdue,Yes,94,Negotiation
DEBTX00038,SMB549,Private Financier,Mortgage Loan,88021,57242,20.93,4079,2025-04-04,Current,Yes,34,Avalanche
DEBTX00039,SMB530,NBFC Capital,Equipment Loan,1084055,727127,15.91,78486,2025-02-26,Closed,Yes,55,Avalanche
DEBTX00040,SMB546,Bank X,Term Loan,236198,146597,9.77,15456,2026-04-09,Defaulted,No,47,Consolidation
