Transaction_ID,Date,Business_ID,Category,Cash_Inflow,Cash_Outflow,Net_Cashflow,Payment_Method,Notes
TXN0001,2024-05-29,SMB123,Rent,0,21341,-21341,Credit,Warning: Negative cashflow
TXN0002,2024-07-06,SMB111,Inventory Purchase,0,28373,-28373,Credit,Warning: Negative cashflow
TXN0003,2024-07-18,SMB145,Sales Revenue,39919,11005,11005,Cash,Seasonal effect
TXN0004,2025-01-02,SMB134,Sales Revenue,20418,0,20418,Cash,Seasonal effect
TXN0005,2024-10-26,SMB140,Miscellaneous,0,6628,-6628,Bank Transfer,Warning: Negative cashflow
TXN0006,2024-04-11,SMB145,Inventory Purchase,0,23216,-23216,Bank Transfer,Warning: Negative cashflow
TXN0007,2024-12-15,SMB113,Payroll,0,12748,-12748,Bank Transfer,Warning: Negative cashflow
TXN0008,2024-12-27,SMB141,Rent,0,27184,-27184,Bank Transfer,Warning: Negative cashflow
TXN0009,2024-08-14,SMB124,Loan Repayment,0,24356,-24356,Cash,Warning: Negative cashflow
TXN0010,2024-03-11,SMB141,Sales Revenue,43381,0,43381,Credit,Normal transaction
TXN0011,2024-01-29,SMB145,Inventory Purchase,0,10858,-10858,Online Wallet,Warning: Negative cashflow
TXN0012,2024-09-13,SMB116,Loan Repayment,0,28755,-28755,Cash,Warning: Negative cashflow
TXN0013,2024-06-10,SMB118,Miscellaneous,0,7287,-7287,Credit,Warning: Negative cashflow
TXN0014,2024-04-14,SMB133,Rent,0,26970,-26970,Cash,Warning: Negative cashflow
TXN0015,2024-07-03,SMB103,Sales Revenue,42773,0,42773,Online Wallet,Seasonal effect
TXN0016,2024-02-07,SMB113,Payroll,0,27714,-27714,Credit,Warning: Negative cashflow
TXN0017,2024-09-07,SMB112,Inventory Purchase,0,25696,-25696,Bank Transfer,Warning: Negative cashflow
TXN0018,2024-11-01,SMB140,Miscellaneous,3373,0,3373,Credit,Normal transaction
TXN0019,2024-04-06,SMB112,Payroll,0,3205,-3205,Credit,Warning: Negative cashflow
TXN0020,2024-06-30,SMB143,Sales Revenue,13551,0,13551,Online Wallet,Seasonal effect
TXN0021,2024-05-20,SMB131,Rent,0,13986,-13986,Credit,Warning: Negative cashflow
TXN0022,2024-11-23,SMB105,Payroll,0,489782,-489782,Cash,Warning: Negative cashflow
TXN0023,2024-04-20,SMB144,Miscellaneous,1616,91401,-91401,Credit,Warning: Negative cashflow
TXN0024,2024-04-01,SMB120,Rent,0,11511,-11511,Credit,Warning: Negative cashflow
TXN0025,2024-08-22,SMB113,Rent,0,29197,-29197,Online Wallet,Warning: Negative cashflow
TXN0026,2024-02-26,SMB139,Miscellaneous,0,6921,-6921,Cash,Warning: Negative cashflow
TXN0027,2024-11-25,SMB144,Inventory Purchase,0,19842,-19842,Online Wallet,Warning: Negative cashflow
TXN0028,2024-11-29,SMB125,Payroll,0,12991,-12991,Credit,Warning: Negative cashflow
TXN0029,2024-10-10,SMB107,Inventory Purchase,0,29183,-29183,Cash,Warning: Negative cashflow
TXN0030,2024-03-11,SMB132,Inventory Purchase,0,82300,-67287,Credit,Warning: Negative cashflow
TXN0031,2024-03-19,SMB101,Miscellaneous,5020,0,5020,Cash,Seasonal effect
TXN0032,2024-12-09,SMB108,Payroll,0,5291,-5291,Cash,Warning: Negative cashflow
